ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
IC2507.CFX,IC2507,CFFEX,IC2507,IC,200,张,1,指数点,0.2指数点,现金交割,20250519,20250718,202507,20250718
IH2609.CFX,IH2609,CFFEX,IH2609,IH,300,张,1,指数点,0.2指数点,现金交割,20260119,20260918,202609,20260918
TF1409.CFX,TF1409,CFFEX,TF1409,TF,10000,张,1,人民币元,0.005人民币元,实物交割,20131216,20140912,201409,20140917
IF2210.CFX,IF2210,CFFEX,IF2210,IF,300,张,1,指数点,0.2指数点,现金交割,20220822,20221021,202210,20221021
IH2412.CFX,IH2412,CFFEX,IH2412,IH,300,张,1,指数点,0.2指数点,现金交割,20240422,20241220,202412,20241220
IF1307.CFX,IF1307,CFFEX,IF1307,IF,300,张,1,指数点,0.2指数点,现金交割,20130520,20130719,201307,20130719
IF1911.CFX,IF1911,CFFEX,IF1911,IF,300,张,1,指数点,0.2指数点,现金交割,20190923,20191115,201911,20191115
IC1911.CFX,IC1911,CFFEX,IC1911,IC,200,张,1,指数点,0.2指数点,现金交割,20190923,20191115,201911,20191115
IH1911.CFX,IH1911,CFFEX,IH1911,IH,300,张,1,指数点,0.2指数点,现金交割,20190923,20191115,201911,20191115
IC2212.CFX,IC2212,CFFEX,IC2212,IC,200,张,1,指数点,0.2指数点,现金交割,20220418,20221216,202212,20221216
IC2205.CFX,IC2205,CFFEX,IC2205,IC,200,张,1,指数点,0.2指数点,现金交割,20220321,20220520,202205,20220520
IM2506.CFX,IM2506,CFFEX,IM2506,IM,200,张,1,指数点,0.2指数点,现金交割,20241021,20250620,202506,20250620
TS2212.CFX,TS2212,CFFEX,TS2212,TS,20000,张,1,人民币元,0.002人民币元,实物交割,20220314,20221209,202212,20221214
IF1607.CFX,IF1607,CFFEX,IF1607,IF,300,张,1,指数点,0.2指数点,现金交割,20160523,20160715,201607,20160715
IM2307.CFX,IM2307,CFFEX,IM2307,IM,200,张,1,指数点,0.2指数点,现金交割,20230522,20230721,202307,20230721
T1806.CFX,T1806,CFFEX,T1806,T,10000,张,1,人民币元,0.005人民币元,实物交割,20170911,20180608,201806,20180613
TF1509.CFX,TF1509,CFFEX,TF1509,TF,10000,张,1,人民币元,0.005人民币元,实物交割,20141215,20150911,201509,20150916
IC1801.CFX,IC1801,CFFEX,IC1801,IC,200,张,1,指数点,0.2指数点,现金交割,20171120,20180119,201801,20180119
IF1801.CFX,IF1801,CFFEX,IF1801,IF,300,张,1,指数点,0.2指数点,现金交割,20171120,20180119,201801,20180119
IH1801.CFX,IH1801,CFFEX,IH1801,IH,300,张,1,指数点,0.2指数点,现金交割,20171120,20180119,201801,20180119
IF2501.CFX,IF2501,CFFEX,IF2501,IF,300,张,1,指数点,0.2指数点,现金交割,20241118,20250117,202501,20250117
TF2506.CFX,TF2506,CFFEX,TF2506,TF,10000,张,1,人民币元,0.005人民币元,实物交割,20240918,20250613,202506,20250618
IF2305.CFX,IF2305,CFFEX,IF2305,IF,300,张,1,指数点,0.2指数点,现金交割,20230320,20230519,202305,20230519
T2509.CFX,T2509,CFFEX,T2509,T,10000,张,1,人民币元,0.005人民币元,实物交割,20241216,20250912,202509,20250917
IH2506.CFX,IH2506,CFFEX,IH2506,IH,300,张,1,指数点,0.2指数点,现金交割,20241021,20250620,202506,20250620
T2412.CFX,T2412,CFFEX,T2412,T,10000,张,1,人民币元,0.005人民币元,实物交割,20240311,20241213,202412,20241218
IC2409.CFX,IC2409,CFFEX,IC2409,IC,200,张,1,指数点,0.2指数点,现金交割,20240122,20240920,202409,20240920
IM2602.CFX,IM2602,CFFEX,IM2602,IM,200,张,1,指数点,0.2指数点,现金交割,20251222,20260224,202602,20260224
IC1603.CFX,IC1603,CFFEX,IC1603,IC,200,张,1,指数点,0.2指数点,现金交割,20150720,20160318,201603,20160318
IF1608.CFX,IF1608,CFFEX,IF1608,IF,300,张,1,指数点,0.2指数点,现金交割,20160620,20160819,201608,20160819
